time,CH1,CH2,CH3,CH4
seconds,VOLT,VOLT,VOLT,VOLT
1X,1X,1X,10X,10X
1593388415,6.688995e-03,1.712402e-03,-3.946533e-03,-3.926422e-02
1593388416,6.588592e-03,1.725769e-03,-2.341003e-03,-3.933105e-02
1593388417,6.722412e-03,1.765869e-03,-4.882813e-03,-3.933105e-02
1593388418,6.622009e-03,1.725769e-03,-8.694458e-04,-3.926422e-02
1593388419,6.622009e-03,1.712402e-03,-6.354370e-03,-3.933105e-02
1593388420,6.755829e-03,1.752503e-03,-7.893066e-03,-3.899658e-02
1593388421,6.588592e-03,1.752503e-03,-3.678894e-03,-3.899658e-02
1593388422,7.190704e-03,1.672241e-03,-3.812561e-03,-3.939789e-02
1593388423,6.923065e-03,1.685608e-03,-3.009949e-03,-3.933105e-02
1593388424,6.655579e-03,1.792664e-03,-5.618591e-03,-3.899658e-02
1593388425,6.622009e-03,1.779236e-03,-5.886230e-03,-3.906342e-02
1593388426,7.157135e-03,1.605347e-03,-9.498291e-03,-3.939789e-02
1593388427,6.655579e-03,1.846130e-03,-5.819397e-03,-3.913055e-02
1593388428,7.090301e-03,1.618713e-03,-5.886230e-03,-3.939789e-02
1593388429,7.123718e-03,1.685608e-03,-6.220703e-03,-3.939789e-02
1593388430,6.856231e-03,1.792664e-03,-9.631958e-03,-3.899658e-02
1593388431,6.655579e-03,1.712402e-03,-2.408142e-03,-3.926422e-02
1593388432,6.655579e-03,1.765869e-03,-1.143799e-02,-3.933105e-02
1593388433,6.521759e-03,1.806030e-03,-2.608642e-03,-3.899658e-02
1593388434,6.889648e-03,1.739136e-03,-6.220703e-03,-3.926422e-02
