time,CH1,CH2,CH3,CH4
seconds,VOLT,VOLT,VOLT,VOLT
1X,1X,1X,10X,10X
1593395007,6.622009e-03,1.712402e-03,-6.020202e-03,-3.933105e-02
1593395008,6.655579e-03,1.752503e-03,-3.478393e-03,-3.899658e-02
1593395009,6.622009e-03,1.779236e-03,-5.551758e-03,-3.906342e-02
1593395010,6.220703e-03,1.739136e-03,-9.431457e-03,-3.892975e-02
1593395011,6.555175e-03,1.832764e-03,-7.157288e-03,-3.919739e-02
1593395012,6.521759e-03,1.685608e-03,-8.294373e-03,-3.933105e-02
1593395013,6.722412e-03,1.752503e-03,-5.083618e-03,-3.899658e-02
1593395014,6.454926e-03,1.779236e-03,-7.290954e-03,-3.899658e-02
1593395015,6.622009e-03,1.739136e-03,-6.555175e-03,-3.899658e-02
1593395016,6.688995e-03,1.779236e-03,-5.217285e-03,-3.899658e-02
1593395017,6.488342e-03,1.658875e-03,-6.488342e-03,-3.953186e-02
1593395018,6.722412e-03,1.698975e-03,-8.628845e-03,-3.926422e-02
1593395019,7.157135e-03,1.605347e-03,-8.428039e-03,-3.939789e-02
1593395020,6.622009e-03,1.725769e-03,-1.264221e-02,-3.926422e-02
1593395021,6.622009e-03,1.779236e-03,-1.170563e-02,-3.906342e-02
1593395022,6.220703e-03,1.765869e-03,-4.147034e-03,-3.892975e-02
1593395023,6.688995e-03,1.886292e-03,-4.414673e-03,-3.899658e-02
1593395024,6.588592e-03,1.806030e-03,-3.143921e-03,-3.906342e-02
1593395025,5.953216e-03,1.752503e-03,-6.688843e-03,-3.892975e-02
1593395026,6.655579e-03,1.859558e-03,-8.628845e-03,-3.919739e-02
1593395027,6.655579e-03,1.725769e-03,-1.203918e-03,-3.926422e-02
1593395028,7.123718e-03,1.605347e-03,-9.899597e-03,-3.939789e-02
1593395029,6.588592e-03,1.939819e-03,-5.484924e-03,-3.919739e-02
1593395030,6.454926e-03,1.672241e-03,-5.351257e-03,-3.953186e-02
1593395031,6.387939e-03,1.739136e-03,-5.886230e-03,-3.899658e-02
1593395032,6.622009e-03,1.712402e-03,-3.009949e-03,-3.953186e-02
1593395033,6.588592e-03,1.725769e-03,-7.357788e-03,-3.919739e-02
1593395034,6.622009e-03,1.979920e-03,-1.250824e-02,-3.919739e-02
1593395035,6.588592e-03,1.832764e-03,-1.076935e-02,-3.919739e-02
1593395036,6.588592e-03,1.846130e-03,-1.190643e-02,-3.899658e-02
1593395037,6.588592e-03,2.006714e-03,-1.224091e-02,-3.919739e-02
1593395038,6.789246e-03,1.792664e-03,-6.220703e-03,-3.899658e-02
1593395039,6.622009e-03,1.859558e-03,-1.110382e-02,-3.913055e-02
1593395040,6.588592e-03,1.765869e-03,-7.692261e-03,-3.933105e-02
1593395041,6.755829e-03,1.698975e-03,-1.157196e-02,-3.933105e-02
1593395042,6.755829e-03,1.725769e-03,-1.531769e-02,-3.926422e-02
1593395043,6.655579e-03,1.712402e-03,-4.481506e-03,-3.933105e-02
1593395044,7.157135e-03,1.685608e-03,-1.337799e-02,-3.939789e-02
1593395045,6.488342e-03,1.712402e-03,-1.478271e-02,-3.933105e-02
1593395046,6.622009e-03,1.712402e-03,-1.030090e-02,-3.933105e-02
1593395047,6.655579e-03,1.752503e-03,-1.230774e-02,-3.926422e-02
1593395048,6.153869e-03,1.779236e-03,-1.585297e-02,-3.906342e-02
1593395049,6.521759e-03,1.765869e-03,-1.511719e-02,-3.899658e-02
1593395050,6.655579e-03,1.698975e-03,-6.354370e-03,-3.933105e-02
1593395051,6.521759e-03,1.725769e-03,-1.431427e-02,-3.933105e-02
1593395052,6.588592e-03,1.725769e-03,-1.016724e-02,-3.933105e-02
1593395053,6.588592e-03,1.979920e-03,-1.003357e-02,-3.919739e-02
1593395054,6.488342e-03,1.806030e-03,-1.150513e-02,-3.906342e-02
1593395055,6.287689e-03,1.752503e-03,-1.190643e-02,-3.892975e-02
1593395056,6.521759e-03,1.913025e-03,-1.237457e-02,-3.913055e-02
1593395057,6.655579e-03,1.725769e-03,-9.230652e-03,-3.926422e-02
1593395058,6.755829e-03,1.752503e-03,-6.688843e-03,-3.933105e-02
1593395059,6.789246e-03,1.698975e-03,-3.879700e-03,-3.926422e-02
1593395060,6.588592e-03,1.645508e-03,-5.484924e-03,-3.939789e-02
1593395061,6.153869e-03,1.765869e-03,-9.498291e-03,-3.899658e-02
1593395062,7.257537e-03,1.605347e-03,-8.026733e-03,-3.939789e-02
1593395063,6.555175e-03,1.645508e-03,-1.351166e-02,-3.953186e-02
1593395064,6.521759e-03,1.739136e-03,-7.959899e-03,-3.906342e-02
1593395065,6.454926e-03,1.765869e-03,-1.418060e-02,-3.899658e-02
1593395066,6.722412e-03,1.712402e-03,-9.163818e-03,-3.926422e-02
1593395067,6.956482e-03,1.725769e-03,-9.431457e-03,-3.939789e-02
1593395068,6.755829e-03,1.752503e-03,-1.210693e-02,-3.906342e-02
1593395069,6.789246e-03,1.725769e-03,-6.421509e-03,-3.926422e-02
1593395070,6.153869e-03,1.819397e-03,-6.354370e-03,-3.899658e-02
1593395071,6.822815e-03,1.725769e-03,-3.344421e-03,-3.926422e-02
1593395072,6.622009e-03,1.739136e-03,-5.150451e-03,-3.926422e-02
1593395073,6.521759e-03,1.739136e-03,-4.281006e-03,-3.906342e-02
1593395074,6.688995e-03,1.725769e-03,-1.036804e-02,-3.926422e-02
1593395075,6.722412e-03,1.819397e-03,-3.344421e-03,-3.906342e-02
1593395076,6.688995e-03,1.739136e-03,-5.819397e-03,-3.899658e-02
1593395077,6.521759e-03,1.819397e-03,-1.163879e-02,-3.899658e-02
1593395078,6.655579e-03,1.779236e-03,-1.270752e-03,-3.899658e-02
1593395079,6.755829e-03,1.752503e-03,-2.943115e-03,-3.933105e-02
1593395080,6.923065e-03,1.645508e-03,-2.876282e-03,-3.939789e-02
