time,CH1,CH2,CH3,CH4
1593395081,6.488342e-03,1.765869e-03,-9.297790e-03,-3.899658e-02
1593395082,6.655579e-03,1.712402e-03,-7.357788e-03,-3.933105e-02
1593395083,6.822815e-03,1.685608e-03,-5.418091e-03,-3.939789e-02
1593395084,6.755829e-03,1.819397e-03,-1.137115e-02,-3.906342e-02
1593395085,6.989899e-03,1.618713e-03,-4.414673e-03,-3.939789e-02
1593395086,6.789246e-03,1.698975e-03,-7.357788e-03,-3.926422e-02
1593395087,6.856231e-03,1.792664e-03,-1.337799e-02,-3.899658e-02
1593395088,6.588592e-03,1.806030e-03,-5.551758e-03,-3.906342e-02
1593395089,7.157135e-03,1.605347e-03,-5.618591e-03,-3.939789e-02
1593395090,6.688995e-03,1.725769e-03,-6.220703e-03,-3.926422e-02
1593395091,6.722412e-03,1.752503e-03,-8.227539e-03,-3.926422e-02
1593395092,6.655579e-03,1.712402e-03,-5.351257e-03,-3.926422e-02
1593395093,7.023468e-03,1.685608e-03,-4.815979e-03,-3.933105e-02
1593395094,6.655579e-03,1.725769e-03,-1.090301e-02,-3.926422e-02
1593395095,6.622009e-03,1.725769e-03,-1.016724e-02,-3.899658e-02
1593395096,6.555175e-03,1.685608e-03,-1.852844e-02,-3.953186e-02
1593395097,6.655579e-03,1.712402e-03,-1.150513e-02,-3.933105e-02
1593395098,6.421356e-03,1.913025e-03,-9.565124e-03,-3.913055e-02
1593395099,6.655579e-03,1.779236e-03,-8.963318e-03,-3.899658e-02
1593395100,6.521759e-03,1.846130e-03,-1.143799e-02,-3.919739e-02
1593395101,6.688995e-03,1.739136e-03,-6.153869e-03,-3.906342e-02
1593395102,6.722412e-03,1.846130e-03,-1.484955e-02,-3.899658e-02
1593395103,6.488342e-03,1.872925e-03,-1.491638e-02,-3.913055e-02
1593395104,6.688995e-03,1.712402e-03,-9.230652e-03,-3.939789e-02
1593395105,6.688995e-03,1.739136e-03,-1.471558e-02,-3.926422e-02
1593395106,6.822815e-03,1.779236e-03,-1.190643e-02,-3.899658e-02
